"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","1","67-1191-ND","SSI-LXH312GD-150","LED 3MM GREEN 6""LDS PANEL MOUNT","","1","0","1.11000","1.11"
"2","2","HMM25H-ND","A-DSF 25LPIII/Z","CONN D-SUB PLUG 25POS STR IDC","","2","0","2.33000","4.66"
"3","60","WM1114-ND","08-50-0114","CONN TERM FEMALE 22-30AWG TIN","","60","0","0.10380","6.23"
"4","1","CP-5-ND","PJ-005A","CONN PWR JACK 2X5.5MM SOLDER","","1","0","2.23000","2.23"
"5","4","WM2302-ND","08-52-0072","CONN TERM FEMALE 18-24AWG TIN","","4","0","0.17000","0.68"
"6","2","WM2111-ND","0009508023","CONN HOUSING 2POS .156 W/POLAR","","2","0","0.20000","0.40"
"7","2","WM4620-ND","0026604020","CONN HEADER 2POS .156 VERT TIN","","2","0","0.27000","0.54"
"8","1","952-2128-ND","M20-9980846","DIL VERTICAL PC TAIL PIN HEADER","","1","0","0.55000","0.55"
"9","4","WM2002-ND","0022013047","CONN HOUS 4POS .100 W/RAMP/RIB","","4","0","0.19000","0.76"
"10","1","296-12183-1-ND","SN74LVC4245APWR","IC TRNSLTR BIDIRECTIONAL 24TSSOP","LEVEL SHIFTER","1","0","1.06000","1.06"
"11","2","P10425CT-ND","ECA-1HM100I","CAP ALUM 10UF 20% 50V RADIAL","","2","0","0.23000","0.46"
"12","1","HM903-ND","1455T1601","BOX ALUM NATURAL 6.3""L X 6.5""W","","1","0","27.54000","27.54"
"13","2","445-173377-1-ND","FG24X7R1H224KNT06","CAP CER 0.22UF 50V X7R RADIAL","","2","0","0.30000","0.60"
"14","2","3362U-103LF-ND","3362U-1-103LF","TRIMMER 10K OHM 0.5W PC PIN TOP","","2","0","1.53000","3.06"
"15","1","AE11131-ND","AU-Y1008-2","CONN USB 2.0 R/A DL FMALE TYPE A","","1","0","1.07000","1.07"
"16","2","490-8814-ND","RDER71H104K0K1H03B","CAP CER 0.1UF 50V X7R RADIAL","","2","0","0.31000","0.62"
"17","1","1053-1210-ND","OD4010-24HSS","FAN AXIAL 40X10.5MM 24VDC WIRE","","1","0","5.22000","5.22"
"18","1","1.5W-1-ND","RSF100JB-73-1R5","RES 1.5 OHM 1W 5% AXIAL","","1","0","0.38000","0.38"
"19","2","TIP42CGOS-ND","TIP42CG","TRANS PNP 100V 6A TO220AB","CURRENT REGULATOR TRANSISTORS","2","0","0.63000","1.26"
"20","1","296-13998-5-ND","UA7812CKCS","IC REG LINEAR 12V 1.5A TO220-3","","1","0","0.86000","0.86"
"21","1","182-09ME-ND","182-009-113R531","CONN D-SUB PLUG 9POS R/A SOLDER","","1","0","1.78000","1.78"
"22","1","296-21633-5-ND","UA78M33CKCS","IC REG LINEAR 3.3V 500MA TO220-3","","1","0","0.83000","0.83"
"23","2","609-4614-1-ND","10029449-111RLF","CONN HDMI RECPT 19POS SMT R/A","","2","0","0.82000","1.64"
"24","5","IRLB8721PBF-ND","IRLB8721PBF","MOSFET N-CH 30V 62A TO-220AB","LED AND HOPPER DRIVERS","5","0","1.05000","5.25"
"25","2","S1212EC-05-ND","PREC005SFAN-RC","CONN HEADER .100"" SNGL STR 5POS","","2","0","0.17000","0.34"
"26","2","S9001-ND","SPC02SYAN","CONN JUMPER SHORTING GOLD FLASH","","2","0","0.10000","0.20"
"27","1","1568-1436-ND","SEN-13879","LOAD CELL AMP HX711","Load Cell **OPTIONAL**","1","0","9.95000","9.95"
"28","1","568-5931-1-ND","PCA9685PW/Q900,118","IC LED DRVR LIN DIM 25MA 28TSSOP","LED PWM DRIVER","1","0","2.46000","2.46"
"29","1","S9176-ND","SBH11-PBPC-D25-ST-BK","CONN HEADER 2.54MM 50POS GOLD","OPERANT BOARD 50 PIN IDC","1","0","1.02000","1.02"
"30","4","WM4202-ND","0022232041","CONN HEADER 4POS .100 VERT TIN","","4","0","0.28000","1.12"
"31","5","WM4201-ND","0022232031","CONN HEADER 3POS .100 VERT TIN","","5","0","0.24000","1.20"
"32","1","WM2003-ND","0022013057","CONN HOUS 5POS .100 W/RAMP/RIB","","1","0","0.26000","0.26"
"33","30","S330HCT-ND","CFM12JT330R","RES 330 OHM 1/2W 5% CF MINI","","30","0","0.04360","1.31"
"34","1","ED2983-ND","USB-B1HSB6","CONN USB TYPE B R/A BLACK","BREAKOUT BOARD USB","1","0","0.58000","0.58"
"35","1","WM4203-ND","0022232051","CONN HEADER 5POS .100 VERT TIN","","1","0","0.37000","0.37"
"36","10","WM4200-ND","22-23-2021","CONN HEADER 2POS .100 VERT TIN","","10","0","0.16100","1.61"
"37","30","S4.3KHCT-ND","CFM12JT4K30","RES 4.3K OHM 1/2W 5% CF MINI","","30","0","0.04360","1.31"
"38","2","296-1577-5-ND","SN74HC14N","IC INVERTER SCHMITT 6CH 14DIP","IR SCHMITT TRIGGERS","2","0","0.55000","1.10"
"39","30","S1KHCT-ND","CFM12JT1K00","RES 1K OHM 1/2W 5% CF MINI","","30","0","0.04360","1.31"
"40","3","HS115-ND","507302B00000G","HEATSINK TO-220 2.5W LOW PROFILE","POWER REGULATOR HEATSINKS","3","0","0.41000","1.23"
"41","1","1N4004-TPMSCT-ND","1N4004-TP","DIODE GEN PURP 400V 1A DO41","HOPPER PROTECTION DIODE","1","0","0.11000","0.11"
"42","1","A32126-ND","5747846-4","CONN D-SUB RCPT 25POS R/A SOLDER","BREAKOUT BOARD DB25","1","0","4.43000","4.43"
"43","2","WM2000-ND","22-01-3027","CONN HOUS 2POS .100 W/RAMP/RIB","","2","0","0.13000","0.26"
"44","1","732-5310-ND","61304021121","CONN HEADER VERT 40POS 2.54","HIFI BERRY CONNECTORS","1","0","1.89000","1.89"
"45","5","WM2001-ND","22-01-3037","CONN HOUS 3POS .100 W/RAMP/RIB","","5","0","0.19000","0.95"
"46","1","67-1190-ND","SSI-LXH312ID-150","LED 3MM HI-I RED DIFF6""LDS PNLMT","","1","0","1.12000","1.12"
"47","1","S9200-ND","SFH11-PBPC-D20-ST-BK","CONN HEADR FMALE 40POS .1"" DL AU","Raspberry Pi Connector","1","0","1.94000","1.94"
"48","2","CF14JT680RCT-ND","CF14JT680R","RES 680 OHM 1/4W 5% AXIAL","","2","0","0.10000","0.20"
"49","1","277-5717-ND","1778001","TERM BLOCK PLUG 4POS STR 5.08MM","Speaker Plug","1","0","4.97000","4.97"
"50","1","277-5853-ND","0710196","TERM BLK HEADER 4POS GREEN","Speaker Header","1","0","6.17000","6.17"
"51","4","2167-ND","2167","IR BREAK BEAM SENSOR 3MM LED","","0","4","1.95000","7.80"